Fit_Index,sim_model,k_split,separation,N,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
AWE,p1m1,even,ideal,200,complex,8,76,15,0,0,427,p1,m1
AWE,p1m1,even,ideal,500,complex,0,0,56,44,0,452,p1,m1
AWE,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
AWE,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
AWE,p1m1,uneven,ideal,200,complex,17,80,3,0,0,373,p1,m1
AWE,p1m1,uneven,ideal,500,complex,0,0,100,0,0,424,p1,m1
AWE,p1m1,uneven,ideal,1000,complex,0,0,70,30,0,479,p1,m1
AWE,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
BIC,p1m1,even,ideal,200,complex,0,0,16,84,0,427,p1,m1
BIC,p1m1,even,ideal,500,complex,0,0,0,100,0,452,p1,m1
BIC,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
BIC,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
BIC,p1m1,uneven,ideal,200,complex,0,0,84,16,0,373,p1,m1
BIC,p1m1,uneven,ideal,500,complex,0,0,10,90,0,424,p1,m1
BIC,p1m1,uneven,ideal,1000,complex,0,0,0,100,0,479,p1,m1
BIC,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
CAIC,p1m1,even,ideal,200,complex,0,0,37,63,0,427,p1,m1
CAIC,p1m1,even,ideal,500,complex,0,0,0,100,0,452,p1,m1
CAIC,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
CAIC,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
CAIC,p1m1,uneven,ideal,200,complex,0,1,96,3,0,373,p1,m1
CAIC,p1m1,uneven,ideal,500,complex,0,0,27,73,0,424,p1,m1
CAIC,p1m1,uneven,ideal,1000,complex,0,0,0,100,0,479,p1,m1
CAIC,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
VLMR,p1m1,even,ideal,200,complex,4,2,16,54,24,427,p1,m1
VLMR,p1m1,even,ideal,500,complex,1,0,0,65,34,452,p1,m1
VLMR,p1m1,even,ideal,1000,complex,0,0,0,75,25,488,p1,m1
VLMR,p1m1,even,ideal,5000,complex,0,0,0,86,14,468,p1,m1
VLMR,p1m1,uneven,ideal,200,complex,7,3,30,45,15,373,p1,m1
VLMR,p1m1,uneven,ideal,500,complex,1,0,8,66,25,424,p1,m1
VLMR,p1m1,uneven,ideal,1000,complex,0,0,0,75,25,479,p1,m1
VLMR,p1m1,uneven,ideal,5000,complex,0,0,0,84,16,466,p1,m1
aBIC,p1m1,even,ideal,200,complex,0,0,0,75,25,427,p1,m1
aBIC,p1m1,even,ideal,500,complex,0,0,0,98,2,452,p1,m1
aBIC,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
aBIC,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
aBIC,p1m1,uneven,ideal,200,complex,0,0,2,74,25,373,p1,m1
aBIC,p1m1,uneven,ideal,500,complex,0,0,0,98,2,424,p1,m1
aBIC,p1m1,uneven,ideal,1000,complex,0,0,0,100,0,479,p1,m1
aBIC,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
cmPk,p1m1,even,ideal,200,complex,0,0,16,84,0,427,p1,m1
cmPk,p1m1,even,ideal,500,complex,0,0,0,100,0,452,p1,m1
cmPk,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
cmPk,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
cmPk,p1m1,uneven,ideal,200,complex,0,0,84,16,0,373,p1,m1
cmPk,p1m1,uneven,ideal,500,complex,0,0,10,90,0,424,p1,m1
cmPk,p1m1,uneven,ideal,1000,complex,0,0,0,100,0,479,p1,m1
cmPk,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
AWE,p2m1,even,ideal,200,complex,11,81,8,0,0,418,p2,m1
AWE,p2m1,even,ideal,500,complex,0,0,38,62,0,457,p2,m1
AWE,p2m1,even,ideal,1000,complex,0,0,0,100,0,483,p2,m1
AWE,p2m1,even,ideal,5000,complex,0,0,0,100,0,467,p2,m1
AWE,p2m1,uneven,ideal,200,complex,15,82,2,0,0,403,p2,m1
AWE,p2m1,uneven,ideal,500,complex,0,1,92,7,0,450,p2,m1
AWE,p2m1,uneven,ideal,1000,complex,0,0,1,99,0,482,p2,m1
AWE,p2m1,uneven,ideal,5000,complex,0,0,0,100,0,476,p2,m1
BIC,p2m1,even,ideal,200,complex,0,0,10,90,0,418,p2,m1
BIC,p2m1,even,ideal,500,complex,0,0,0,100,0,457,p2,m1
BIC,p2m1,even,ideal,1000,complex,0,0,0,100,0,483,p2,m1
BIC,p2m1,even,ideal,5000,complex,0,0,0,100,0,467,p2,m1
BIC,p2m1,uneven,ideal,200,complex,0,0,45,55,0,403,p2,m1
BIC,p2m1,uneven,ideal,500,complex,0,0,0,100,0,450,p2,m1
BIC,p2m1,uneven,ideal,1000,complex,0,0,0,100,0,482,p2,m1
BIC,p2m1,uneven,ideal,5000,complex,0,0,0,100,0,476,p2,m1
CAIC,p2m1,even,ideal,200,complex,0,0,31,69,0,418,p2,m1
CAIC,p2m1,even,ideal,500,complex,0,0,0,100,0,457,p2,m1
CAIC,p2m1,even,ideal,1000,complex,0,0,0,100,0,483,p2,m1
CAIC,p2m1,even,ideal,5000,complex,0,0,0,100,0,467,p2,m1
CAIC,p2m1,uneven,ideal,200,complex,0,2,69,29,0,403,p2,m1
CAIC,p2m1,uneven,ideal,500,complex,0,0,0,100,0,450,p2,m1
CAIC,p2m1,uneven,ideal,1000,complex,0,0,0,100,0,482,p2,m1
CAIC,p2m1,uneven,ideal,5000,complex,0,0,0,100,0,476,p2,m1
VLMR,p2m1,even,ideal,200,complex,6,3,13,53,25,418,p2,m1
VLMR,p2m1,even,ideal,500,complex,1,0,0,72,27,457,p2,m1
VLMR,p2m1,even,ideal,1000,complex,0,0,0,74,26,483,p2,m1
VLMR,p2m1,even,ideal,5000,complex,0,0,0,81,19,467,p2,m1
VLMR,p2m1,uneven,ideal,200,complex,7,4,21,46,21,403,p2,m1
VLMR,p2m1,uneven,ideal,500,complex,1,0,1,68,30,450,p2,m1
VLMR,p2m1,uneven,ideal,1000,complex,0,0,0,76,23,482,p2,m1
VLMR,p2m1,uneven,ideal,5000,complex,0,0,0,82,18,476,p2,m1
aBIC,p2m1,even,ideal,200,complex,0,0,0,74,26,418,p2,m1
aBIC,p2m1,even,ideal,500,complex,0,0,0,99,1,457,p2,m1
aBIC,p2m1,even,ideal,1000,complex,0,0,0,100,0,483,p2,m1
aBIC,p2m1,even,ideal,5000,complex,0,0,0,100,0,467,p2,m1
aBIC,p2m1,uneven,ideal,200,complex,0,0,0,78,22,403,p2,m1
aBIC,p2m1,uneven,ideal,500,complex,0,0,0,99,1,450,p2,m1
aBIC,p2m1,uneven,ideal,1000,complex,0,0,0,100,0,482,p2,m1
aBIC,p2m1,uneven,ideal,5000,complex,0,0,0,100,0,476,p2,m1
cmPk,p2m1,even,ideal,200,complex,0,0,10,90,0,418,p2,m1
cmPk,p2m1,even,ideal,500,complex,0,0,0,100,0,457,p2,m1
cmPk,p2m1,even,ideal,1000,complex,0,0,0,100,0,483,p2,m1
cmPk,p2m1,even,ideal,5000,complex,0,0,0,100,0,467,p2,m1
cmPk,p2m1,uneven,ideal,200,complex,0,0,45,55,0,403,p2,m1
cmPk,p2m1,uneven,ideal,500,complex,0,0,0,100,0,450,p2,m1
cmPk,p2m1,uneven,ideal,1000,complex,0,0,0,100,0,482,p2,m1
cmPk,p2m1,uneven,ideal,5000,complex,0,0,0,100,0,476,p2,m1
AWE,p2m2,even,ideal,200,complex,25,73,2,0,0,310,p2,m2
AWE,p2m2,even,ideal,500,complex,0,0,8,92,0,392,p2,m2
AWE,p2m2,even,ideal,1000,complex,0,0,0,100,0,438,p2,m2
AWE,p2m2,even,ideal,5000,complex,0,0,0,100,0,462,p2,m2
AWE,p2m2,uneven,ideal,200,complex,35,65,0,0,0,327,p2,m2
AWE,p2m2,uneven,ideal,500,complex,0,1,56,42,0,393,p2,m2
AWE,p2m2,uneven,ideal,1000,complex,0,0,0,100,0,441,p2,m2
AWE,p2m2,uneven,ideal,5000,complex,0,0,0,100,0,445,p2,m2
BIC,p2m2,even,ideal,200,complex,0,0,2,98,0,310,p2,m2
BIC,p2m2,even,ideal,500,complex,0,0,0,100,0,392,p2,m2
BIC,p2m2,even,ideal,1000,complex,0,0,0,100,0,438,p2,m2
BIC,p2m2,even,ideal,5000,complex,0,0,0,100,0,462,p2,m2
BIC,p2m2,uneven,ideal,200,complex,0,0,18,81,0,327,p2,m2
BIC,p2m2,uneven,ideal,500,complex,0,0,0,100,0,393,p2,m2
BIC,p2m2,uneven,ideal,1000,complex,0,0,0,100,0,441,p2,m2
BIC,p2m2,uneven,ideal,5000,complex,0,0,0,100,0,445,p2,m2
CAIC,p2m2,even,ideal,200,complex,0,0,13,87,0,310,p2,m2
CAIC,p2m2,even,ideal,500,complex,0,0,0,100,0,392,p2,m2
CAIC,p2m2,even,ideal,1000,complex,0,0,0,100,0,438,p2,m2
CAIC,p2m2,even,ideal,5000,complex,0,0,0,100,0,462,p2,m2
CAIC,p2m2,uneven,ideal,200,complex,0,3,42,55,0,327,p2,m2
CAIC,p2m2,uneven,ideal,500,complex,0,0,0,100,0,393,p2,m2
CAIC,p2m2,uneven,ideal,1000,complex,0,0,0,100,0,441,p2,m2
CAIC,p2m2,uneven,ideal,5000,complex,0,0,0,100,0,445,p2,m2
VLMR,p2m2,even,ideal,200,complex,6,7,11,66,9,310,p2,m2
VLMR,p2m2,even,ideal,500,complex,1,0,0,89,10,392,p2,m2
VLMR,p2m2,even,ideal,1000,complex,0,0,0,89,11,438,p2,m2
VLMR,p2m2,even,ideal,5000,complex,0,0,0,93,7,462,p2,m2
VLMR,p2m2,uneven,ideal,200,complex,10,9,17,56,7,327,p2,m2
VLMR,p2m2,uneven,ideal,500,complex,3,0,0,89,7,393,p2,m2
VLMR,p2m2,uneven,ideal,1000,complex,1,0,0,91,8,441,p2,m2
VLMR,p2m2,uneven,ideal,5000,complex,0,0,0,93,7,445,p2,m2
aBIC,p2m2,even,ideal,200,complex,0,0,0,43,57,310,p2,m2
aBIC,p2m2,even,ideal,500,complex,0,0,0,97,3,392,p2,m2
aBIC,p2m2,even,ideal,1000,complex,0,0,0,100,0,438,p2,m2
aBIC,p2m2,even,ideal,5000,complex,0,0,0,100,0,462,p2,m2
aBIC,p2m2,uneven,ideal,200,complex,0,0,0,48,52,327,p2,m2
aBIC,p2m2,uneven,ideal,500,complex,0,0,0,98,2,393,p2,m2
aBIC,p2m2,uneven,ideal,1000,complex,0,0,0,100,0,441,p2,m2
aBIC,p2m2,uneven,ideal,5000,complex,0,0,0,100,0,445,p2,m2
cmPk,p2m2,even,ideal,200,complex,0,0,2,98,0,310,p2,m2
cmPk,p2m2,even,ideal,500,complex,0,0,0,100,0,392,p2,m2
cmPk,p2m2,even,ideal,1000,complex,0,0,0,100,0,438,p2,m2
cmPk,p2m2,even,ideal,5000,complex,0,0,0,100,0,462,p2,m2
cmPk,p2m2,uneven,ideal,200,complex,0,0,18,81,0,327,p2,m2
cmPk,p2m2,uneven,ideal,500,complex,0,0,0,100,0,393,p2,m2
cmPk,p2m2,uneven,ideal,1000,complex,0,0,0,100,0,441,p2,m2
cmPk,p2m2,uneven,ideal,5000,complex,0,0,0,100,0,445,p2,m2
