Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
AWE,p3m1,even,ideal,200,1.5,simple,13,87,0,0,284,p3,m1
AWE,p3m1,even,ideal,200,0.9,simple,17,83,0,0,292,p3,m1
AWE,p3m1,even,ideal,200,0.405,simple,16,84,1,0,306,p3,m1
AWE,p3m1,even,ideal,500,1.5,simple,0,39,61,0,356,p3,m1
AWE,p3m1,even,ideal,500,0.9,simple,0,13,87,0,385,p3,m1
AWE,p3m1,even,ideal,500,0.405,simple,0,4,96,0,360,p3,m1
AWE,p3m1,even,ideal,1000,1.5,simple,0,0,100,0,422,p3,m1
AWE,p3m1,even,ideal,1000,0.9,simple,0,0,100,0,428,p3,m1
AWE,p3m1,even,ideal,1000,0.405,simple,0,0,100,0,431,p3,m1
AWE,p3m1,even,ideal,5000,1.5,simple,0,0,100,0,471,p3,m1
AWE,p3m1,even,ideal,5000,0.9,simple,0,0,100,0,467,p3,m1
AWE,p3m1,even,ideal,5000,0.405,simple,0,0,100,0,467,p3,m1
AWE,p3m1,uneven,ideal,200,1.5,simple,39,61,0,0,264,p3,m1
AWE,p3m1,uneven,ideal,200,0.9,simple,31,69,0,0,293,p3,m1
AWE,p3m1,uneven,ideal,200,0.405,simple,35,65,0,0,307,p3,m1
AWE,p3m1,uneven,ideal,500,1.5,simple,0,49,51,0,353,p3,m1
AWE,p3m1,uneven,ideal,500,0.9,simple,0,35,65,0,361,p3,m1
AWE,p3m1,uneven,ideal,500,0.405,simple,0,26,74,0,365,p3,m1
AWE,p3m1,uneven,ideal,1000,1.5,simple,0,0,100,0,427,p3,m1
AWE,p3m1,uneven,ideal,1000,0.9,simple,0,0,100,0,414,p3,m1
AWE,p3m1,uneven,ideal,1000,0.405,simple,0,0,100,0,415,p3,m1
AWE,p3m1,uneven,ideal,5000,1.5,simple,0,0,100,0,462,p3,m1
AWE,p3m1,uneven,ideal,5000,0.9,simple,0,0,100,0,464,p3,m1
AWE,p3m1,uneven,ideal,5000,0.405,simple,0,0,100,0,459,p3,m1
BIC,p3m1,even,ideal,200,1.5,simple,0,18,82,0,284,p3,m1
BIC,p3m1,even,ideal,200,0.9,simple,0,6,94,0,292,p3,m1
BIC,p3m1,even,ideal,200,0.405,simple,0,5,95,0,306,p3,m1
BIC,p3m1,even,ideal,500,1.5,simple,0,0,100,0,356,p3,m1
BIC,p3m1,even,ideal,500,0.9,simple,0,0,100,0,385,p3,m1
BIC,p3m1,even,ideal,500,0.405,simple,0,0,100,0,360,p3,m1
BIC,p3m1,even,ideal,1000,1.5,simple,0,0,100,0,422,p3,m1
BIC,p3m1,even,ideal,1000,0.9,simple,0,0,100,0,428,p3,m1
BIC,p3m1,even,ideal,1000,0.405,simple,0,0,100,0,431,p3,m1
BIC,p3m1,even,ideal,5000,1.5,simple,0,0,100,0,471,p3,m1
BIC,p3m1,even,ideal,5000,0.9,simple,0,0,100,0,467,p3,m1
BIC,p3m1,even,ideal,5000,0.405,simple,0,0,100,0,467,p3,m1
BIC,p3m1,uneven,ideal,200,1.5,simple,0,26,74,0,264,p3,m1
BIC,p3m1,uneven,ideal,200,0.9,simple,0,18,82,0,293,p3,m1
BIC,p3m1,uneven,ideal,200,0.405,simple,0,13,87,0,307,p3,m1
BIC,p3m1,uneven,ideal,500,1.5,simple,0,0,100,0,353,p3,m1
BIC,p3m1,uneven,ideal,500,0.9,simple,0,0,100,0,361,p3,m1
BIC,p3m1,uneven,ideal,500,0.405,simple,0,0,100,0,365,p3,m1
BIC,p3m1,uneven,ideal,1000,1.5,simple,0,0,100,0,427,p3,m1
BIC,p3m1,uneven,ideal,1000,0.9,simple,0,0,100,0,414,p3,m1
BIC,p3m1,uneven,ideal,1000,0.405,simple,0,0,100,0,415,p3,m1
BIC,p3m1,uneven,ideal,5000,1.5,simple,0,0,100,0,462,p3,m1
BIC,p3m1,uneven,ideal,5000,0.9,simple,0,0,100,0,464,p3,m1
BIC,p3m1,uneven,ideal,5000,0.405,simple,0,0,100,0,459,p3,m1
CAIC,p3m1,even,ideal,200,1.5,simple,0,32,68,0,284,p3,m1
CAIC,p3m1,even,ideal,200,0.9,simple,0,19,81,0,292,p3,m1
CAIC,p3m1,even,ideal,200,0.405,simple,0,11,89,0,306,p3,m1
CAIC,p3m1,even,ideal,500,1.5,simple,0,0,100,0,356,p3,m1
CAIC,p3m1,even,ideal,500,0.9,simple,0,0,100,0,385,p3,m1
CAIC,p3m1,even,ideal,500,0.405,simple,0,0,100,0,360,p3,m1
CAIC,p3m1,even,ideal,1000,1.5,simple,0,0,100,0,422,p3,m1
CAIC,p3m1,even,ideal,1000,0.9,simple,0,0,100,0,428,p3,m1
CAIC,p3m1,even,ideal,1000,0.405,simple,0,0,100,0,431,p3,m1
CAIC,p3m1,even,ideal,5000,1.5,simple,0,0,100,0,471,p3,m1
CAIC,p3m1,even,ideal,5000,0.9,simple,0,0,100,0,467,p3,m1
CAIC,p3m1,even,ideal,5000,0.405,simple,0,0,100,0,467,p3,m1
CAIC,p3m1,uneven,ideal,200,1.5,simple,0,48,52,0,264,p3,m1
CAIC,p3m1,uneven,ideal,200,0.9,simple,0,43,57,0,293,p3,m1
CAIC,p3m1,uneven,ideal,200,0.405,simple,0,29,71,0,307,p3,m1
CAIC,p3m1,uneven,ideal,500,1.5,simple,0,0,100,0,353,p3,m1
CAIC,p3m1,uneven,ideal,500,0.9,simple,0,0,100,0,361,p3,m1
CAIC,p3m1,uneven,ideal,500,0.405,simple,0,0,100,0,365,p3,m1
CAIC,p3m1,uneven,ideal,1000,1.5,simple,0,0,100,0,427,p3,m1
CAIC,p3m1,uneven,ideal,1000,0.9,simple,0,0,100,0,414,p3,m1
CAIC,p3m1,uneven,ideal,1000,0.405,simple,0,0,100,0,415,p3,m1
CAIC,p3m1,uneven,ideal,5000,1.5,simple,0,0,100,0,462,p3,m1
CAIC,p3m1,uneven,ideal,5000,0.9,simple,0,0,100,0,464,p3,m1
CAIC,p3m1,uneven,ideal,5000,0.405,simple,0,0,100,0,459,p3,m1
VLMR,p3m1,even,ideal,200,1.5,simple,5,11,51,33,284,p3,m1
VLMR,p3m1,even,ideal,200,0.9,simple,5,7,51,38,292,p3,m1
VLMR,p3m1,even,ideal,200,0.405,simple,4,6,53,38,306,p3,m1
VLMR,p3m1,even,ideal,500,1.5,simple,0,0,60,40,356,p3,m1
VLMR,p3m1,even,ideal,500,0.9,simple,0,0,57,43,385,p3,m1
VLMR,p3m1,even,ideal,500,0.405,simple,1,0,57,42,360,p3,m1
VLMR,p3m1,even,ideal,1000,1.5,simple,0,0,67,33,422,p3,m1
VLMR,p3m1,even,ideal,1000,0.9,simple,0,0,70,30,428,p3,m1
VLMR,p3m1,even,ideal,1000,0.405,simple,0,0,66,34,431,p3,m1
VLMR,p3m1,even,ideal,5000,1.5,simple,0,0,86,14,471,p3,m1
VLMR,p3m1,even,ideal,5000,0.9,simple,0,0,82,18,467,p3,m1
VLMR,p3m1,even,ideal,5000,0.405,simple,0,0,85,15,467,p3,m1
VLMR,p3m1,uneven,ideal,200,1.5,simple,8,12,46,34,264,p3,m1
VLMR,p3m1,uneven,ideal,200,0.9,simple,6,9,52,33,293,p3,m1
VLMR,p3m1,uneven,ideal,200,0.405,simple,6,9,50,36,307,p3,m1
VLMR,p3m1,uneven,ideal,500,1.5,simple,3,0,61,35,353,p3,m1
VLMR,p3m1,uneven,ideal,500,0.9,simple,2,0,58,40,361,p3,m1
VLMR,p3m1,uneven,ideal,500,0.405,simple,1,1,61,37,365,p3,m1
VLMR,p3m1,uneven,ideal,1000,1.5,simple,3,0,68,29,427,p3,m1
VLMR,p3m1,uneven,ideal,1000,0.9,simple,1,0,67,32,414,p3,m1
VLMR,p3m1,uneven,ideal,1000,0.405,simple,0,0,70,30,415,p3,m1
VLMR,p3m1,uneven,ideal,5000,1.5,simple,2,0,80,18,462,p3,m1
VLMR,p3m1,uneven,ideal,5000,0.9,simple,0,0,82,18,464,p3,m1
VLMR,p3m1,uneven,ideal,5000,0.405,simple,0,0,81,19,459,p3,m1
aBIC,p3m1,even,ideal,200,1.5,simple,0,0,94,6,284,p3,m1
aBIC,p3m1,even,ideal,200,0.9,simple,0,0,94,6,292,p3,m1
aBIC,p3m1,even,ideal,200,0.405,simple,0,0,95,5,306,p3,m1
aBIC,p3m1,even,ideal,500,1.5,simple,0,0,100,0,356,p3,m1
aBIC,p3m1,even,ideal,500,0.9,simple,0,0,99,1,385,p3,m1
aBIC,p3m1,even,ideal,500,0.405,simple,0,0,98,2,360,p3,m1
aBIC,p3m1,even,ideal,1000,1.5,simple,0,0,100,0,422,p3,m1
aBIC,p3m1,even,ideal,1000,0.9,simple,0,0,100,0,428,p3,m1
aBIC,p3m1,even,ideal,1000,0.405,simple,0,0,100,0,431,p3,m1
aBIC,p3m1,even,ideal,5000,1.5,simple,0,0,100,0,471,p3,m1
aBIC,p3m1,even,ideal,5000,0.9,simple,0,0,100,0,467,p3,m1
aBIC,p3m1,even,ideal,5000,0.405,simple,0,0,100,0,467,p3,m1
aBIC,p3m1,uneven,ideal,200,1.5,simple,0,0,94,6,264,p3,m1
aBIC,p3m1,uneven,ideal,200,0.9,simple,0,0,95,5,293,p3,m1
aBIC,p3m1,uneven,ideal,200,0.405,simple,0,0,96,4,307,p3,m1
aBIC,p3m1,uneven,ideal,500,1.5,simple,0,0,100,0,353,p3,m1
aBIC,p3m1,uneven,ideal,500,0.9,simple,0,0,100,0,361,p3,m1
aBIC,p3m1,uneven,ideal,500,0.405,simple,0,0,99,1,365,p3,m1
aBIC,p3m1,uneven,ideal,1000,1.5,simple,0,0,100,0,427,p3,m1
aBIC,p3m1,uneven,ideal,1000,0.9,simple,0,0,100,0,414,p3,m1
aBIC,p3m1,uneven,ideal,1000,0.405,simple,0,0,100,0,415,p3,m1
aBIC,p3m1,uneven,ideal,5000,1.5,simple,0,0,100,0,462,p3,m1
aBIC,p3m1,uneven,ideal,5000,0.9,simple,0,0,100,0,464,p3,m1
aBIC,p3m1,uneven,ideal,5000,0.405,simple,0,0,100,0,459,p3,m1
cmPk,p3m1,even,ideal,200,1.5,simple,0,18,82,0,284,p3,m1
cmPk,p3m1,even,ideal,200,0.9,simple,0,6,94,0,292,p3,m1
cmPk,p3m1,even,ideal,200,0.405,simple,0,5,95,0,306,p3,m1
cmPk,p3m1,even,ideal,500,1.5,simple,0,0,100,0,356,p3,m1
cmPk,p3m1,even,ideal,500,0.9,simple,0,0,100,0,385,p3,m1
cmPk,p3m1,even,ideal,500,0.405,simple,0,0,100,0,360,p3,m1
cmPk,p3m1,even,ideal,1000,1.5,simple,0,0,100,0,422,p3,m1
cmPk,p3m1,even,ideal,1000,0.9,simple,0,0,100,0,428,p3,m1
cmPk,p3m1,even,ideal,1000,0.405,simple,0,0,100,0,431,p3,m1
cmPk,p3m1,even,ideal,5000,1.5,simple,0,0,100,0,471,p3,m1
cmPk,p3m1,even,ideal,5000,0.9,simple,0,0,100,0,467,p3,m1
cmPk,p3m1,even,ideal,5000,0.405,simple,0,0,100,0,467,p3,m1
cmPk,p3m1,uneven,ideal,200,1.5,simple,0,26,74,0,264,p3,m1
cmPk,p3m1,uneven,ideal,200,0.9,simple,0,18,82,0,293,p3,m1
cmPk,p3m1,uneven,ideal,200,0.405,simple,0,13,87,0,307,p3,m1
cmPk,p3m1,uneven,ideal,500,1.5,simple,0,0,100,0,353,p3,m1
cmPk,p3m1,uneven,ideal,500,0.9,simple,0,0,100,0,361,p3,m1
cmPk,p3m1,uneven,ideal,500,0.405,simple,0,0,100,0,365,p3,m1
cmPk,p3m1,uneven,ideal,1000,1.5,simple,0,0,100,0,427,p3,m1
cmPk,p3m1,uneven,ideal,1000,0.9,simple,0,0,100,0,414,p3,m1
cmPk,p3m1,uneven,ideal,1000,0.405,simple,0,0,100,0,415,p3,m1
cmPk,p3m1,uneven,ideal,5000,1.5,simple,0,0,100,0,462,p3,m1
cmPk,p3m1,uneven,ideal,5000,0.9,simple,0,0,100,0,464,p3,m1
cmPk,p3m1,uneven,ideal,5000,0.405,simple,0,0,100,0,459,p3,m1
AWE,p3m2,even,ideal,200,1.5,simple,42,58,0,0,196,p3,m2
AWE,p3m2,even,ideal,200,0.9,simple,30,70,0,0,187,p3,m2
AWE,p3m2,even,ideal,200,0.405,simple,29,71,0,0,211,p3,m2
AWE,p3m2,even,ideal,500,1.5,simple,0,57,43,0,360,p3,m2
AWE,p3m2,even,ideal,500,0.9,simple,0,35,65,0,313,p3,m2
AWE,p3m2,even,ideal,500,0.405,simple,0,26,74,0,272,p3,m2
AWE,p3m2,even,ideal,1000,1.5,simple,0,0,100,0,422,p3,m2
AWE,p3m2,even,ideal,1000,0.9,simple,0,0,100,0,379,p3,m2
AWE,p3m2,even,ideal,1000,0.405,simple,0,0,100,0,338,p3,m2
AWE,p3m2,even,ideal,5000,1.5,simple,0,0,44,56,493,p3,m2
AWE,p3m2,even,ideal,5000,0.9,simple,0,0,100,0,488,p3,m2
AWE,p3m2,even,ideal,5000,0.405,simple,0,0,100,0,476,p3,m2
AWE,p3m2,uneven,ideal,200,1.5,simple,77,23,0,0,198,p3,m2
AWE,p3m2,uneven,ideal,200,0.9,simple,74,26,0,0,193,p3,m2
AWE,p3m2,uneven,ideal,200,0.405,simple,81,19,0,0,186,p3,m2
AWE,p3m2,uneven,ideal,500,1.5,simple,0,60,40,0,359,p3,m2
AWE,p3m2,uneven,ideal,500,0.9,simple,0,35,65,0,325,p3,m2
AWE,p3m2,uneven,ideal,500,0.405,simple,0,15,85,0,271,p3,m2
AWE,p3m2,uneven,ideal,1000,1.5,simple,0,0,100,0,422,p3,m2
AWE,p3m2,uneven,ideal,1000,0.9,simple,0,0,100,0,432,p3,m2
AWE,p3m2,uneven,ideal,1000,0.405,simple,0,0,100,0,371,p3,m2
AWE,p3m2,uneven,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
AWE,p3m2,uneven,ideal,5000,0.9,simple,0,0,94,6,500,p3,m2
AWE,p3m2,uneven,ideal,5000,0.405,simple,0,0,100,0,488,p3,m2
BIC,p3m2,even,ideal,200,1.5,simple,0,22,78,0,196,p3,m2
BIC,p3m2,even,ideal,200,0.9,simple,0,17,83,0,187,p3,m2
BIC,p3m2,even,ideal,200,0.405,simple,0,10,90,0,211,p3,m2
BIC,p3m2,even,ideal,500,1.5,simple,0,0,100,0,360,p3,m2
BIC,p3m2,even,ideal,500,0.9,simple,0,0,100,0,313,p3,m2
BIC,p3m2,even,ideal,500,0.405,simple,0,0,100,0,272,p3,m2
BIC,p3m2,even,ideal,1000,1.5,simple,0,0,89,11,422,p3,m2
BIC,p3m2,even,ideal,1000,0.9,simple,0,0,100,0,379,p3,m2
BIC,p3m2,even,ideal,1000,0.405,simple,0,0,100,0,338,p3,m2
BIC,p3m2,even,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
BIC,p3m2,even,ideal,5000,0.9,simple,0,0,22,78,488,p3,m2
BIC,p3m2,even,ideal,5000,0.405,simple,0,0,100,0,476,p3,m2
BIC,p3m2,uneven,ideal,200,1.5,simple,0,24,76,0,198,p3,m2
BIC,p3m2,uneven,ideal,200,0.9,simple,0,14,86,0,193,p3,m2
BIC,p3m2,uneven,ideal,200,0.405,simple,0,13,87,0,186,p3,m2
BIC,p3m2,uneven,ideal,500,1.5,simple,0,0,93,7,359,p3,m2
BIC,p3m2,uneven,ideal,500,0.9,simple,0,0,100,0,325,p3,m2
BIC,p3m2,uneven,ideal,500,0.405,simple,0,0,100,0,271,p3,m2
BIC,p3m2,uneven,ideal,1000,1.5,simple,0,0,35,65,422,p3,m2
BIC,p3m2,uneven,ideal,1000,0.9,simple,0,0,98,2,432,p3,m2
BIC,p3m2,uneven,ideal,1000,0.405,simple,0,0,100,0,371,p3,m2
BIC,p3m2,uneven,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
BIC,p3m2,uneven,ideal,5000,0.9,simple,0,0,0,100,500,p3,m2
BIC,p3m2,uneven,ideal,5000,0.405,simple,0,0,100,0,488,p3,m2
CAIC,p3m2,even,ideal,200,1.5,simple,0,46,54,0,196,p3,m2
CAIC,p3m2,even,ideal,200,0.9,simple,0,32,68,0,187,p3,m2
CAIC,p3m2,even,ideal,200,0.405,simple,0,28,72,0,211,p3,m2
CAIC,p3m2,even,ideal,500,1.5,simple,0,0,100,0,360,p3,m2
CAIC,p3m2,even,ideal,500,0.9,simple,0,0,100,0,313,p3,m2
CAIC,p3m2,even,ideal,500,0.405,simple,0,0,100,0,272,p3,m2
CAIC,p3m2,even,ideal,1000,1.5,simple,0,0,96,4,422,p3,m2
CAIC,p3m2,even,ideal,1000,0.9,simple,0,0,100,0,379,p3,m2
CAIC,p3m2,even,ideal,1000,0.405,simple,0,0,100,0,338,p3,m2
CAIC,p3m2,even,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
CAIC,p3m2,even,ideal,5000,0.9,simple,0,0,49,51,488,p3,m2
CAIC,p3m2,even,ideal,5000,0.405,simple,0,0,100,0,476,p3,m2
CAIC,p3m2,uneven,ideal,200,1.5,simple,0,44,56,0,198,p3,m2
CAIC,p3m2,uneven,ideal,200,0.9,simple,0,30,70,0,193,p3,m2
CAIC,p3m2,uneven,ideal,200,0.405,simple,0,24,76,0,186,p3,m2
CAIC,p3m2,uneven,ideal,500,1.5,simple,0,0,99,1,359,p3,m2
CAIC,p3m2,uneven,ideal,500,0.9,simple,0,0,100,0,325,p3,m2
CAIC,p3m2,uneven,ideal,500,0.405,simple,0,0,100,0,271,p3,m2
CAIC,p3m2,uneven,ideal,1000,1.5,simple,0,0,59,41,422,p3,m2
CAIC,p3m2,uneven,ideal,1000,0.9,simple,0,0,100,0,432,p3,m2
CAIC,p3m2,uneven,ideal,1000,0.405,simple,0,0,100,0,371,p3,m2
CAIC,p3m2,uneven,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
CAIC,p3m2,uneven,ideal,5000,0.9,simple,0,0,0,100,500,p3,m2
CAIC,p3m2,uneven,ideal,5000,0.405,simple,0,0,100,0,488,p3,m2
VLMR,p3m2,even,ideal,200,1.5,simple,12,26,49,13,196,p3,m2
VLMR,p3m2,even,ideal,200,0.9,simple,9,18,54,19,187,p3,m2
VLMR,p3m2,even,ideal,200,0.405,simple,8,16,55,21,211,p3,m2
VLMR,p3m2,even,ideal,500,1.5,simple,1,2,64,33,360,p3,m2
VLMR,p3m2,even,ideal,500,0.9,simple,0,0,76,24,313,p3,m2
VLMR,p3m2,even,ideal,500,0.405,simple,0,0,81,19,272,p3,m2
VLMR,p3m2,even,ideal,1000,1.5,simple,0,0,31,69,422,p3,m2
VLMR,p3m2,even,ideal,1000,0.9,simple,0,0,62,38,379,p3,m2
VLMR,p3m2,even,ideal,1000,0.405,simple,0,0,80,20,338,p3,m2
VLMR,p3m2,even,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
VLMR,p3m2,even,ideal,5000,0.9,simple,0,0,2,98,488,p3,m2
VLMR,p3m2,even,ideal,5000,0.405,simple,0,0,53,47,476,p3,m2
VLMR,p3m2,uneven,ideal,200,1.5,simple,18,28,45,10,198,p3,m2
VLMR,p3m2,uneven,ideal,200,0.9,simple,16,19,47,19,193,p3,m2
VLMR,p3m2,uneven,ideal,200,0.405,simple,17,11,52,20,186,p3,m2
VLMR,p3m2,uneven,ideal,500,1.5,simple,8,5,47,40,359,p3,m2
VLMR,p3m2,uneven,ideal,500,0.9,simple,12,1,63,25,325,p3,m2
VLMR,p3m2,uneven,ideal,500,0.405,simple,7,0,70,22,271,p3,m2
VLMR,p3m2,uneven,ideal,1000,1.5,simple,2,1,9,88,422,p3,m2
VLMR,p3m2,uneven,ideal,1000,0.9,simple,7,0,44,49,432,p3,m2
VLMR,p3m2,uneven,ideal,1000,0.405,simple,6,0,76,18,371,p3,m2
VLMR,p3m2,uneven,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
VLMR,p3m2,uneven,ideal,5000,0.9,simple,0,0,0,100,500,p3,m2
VLMR,p3m2,uneven,ideal,5000,0.405,simple,4,0,32,64,488,p3,m2
aBIC,p3m2,even,ideal,200,1.5,simple,0,0,14,86,196,p3,m2
aBIC,p3m2,even,ideal,200,0.9,simple,0,0,27,73,187,p3,m2
aBIC,p3m2,even,ideal,200,0.405,simple,0,0,34,66,211,p3,m2
aBIC,p3m2,even,ideal,500,1.5,simple,0,0,27,73,360,p3,m2
aBIC,p3m2,even,ideal,500,0.9,simple,0,0,69,31,313,p3,m2
aBIC,p3m2,even,ideal,500,0.405,simple,0,0,93,7,272,p3,m2
aBIC,p3m2,even,ideal,1000,1.5,simple,0,0,5,95,422,p3,m2
aBIC,p3m2,even,ideal,1000,0.9,simple,0,0,67,33,379,p3,m2
aBIC,p3m2,even,ideal,1000,0.405,simple,0,0,98,2,338,p3,m2
aBIC,p3m2,even,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
aBIC,p3m2,even,ideal,5000,0.9,simple,0,0,0,100,488,p3,m2
aBIC,p3m2,even,ideal,5000,0.405,simple,0,0,99,1,476,p3,m2
aBIC,p3m2,uneven,ideal,200,1.5,simple,0,0,9,91,198,p3,m2
aBIC,p3m2,uneven,ideal,200,0.9,simple,0,0,19,81,193,p3,m2
aBIC,p3m2,uneven,ideal,200,0.405,simple,0,0,30,70,186,p3,m2
aBIC,p3m2,uneven,ideal,500,1.5,simple,0,0,7,93,359,p3,m2
aBIC,p3m2,uneven,ideal,500,0.9,simple,0,0,54,46,325,p3,m2
aBIC,p3m2,uneven,ideal,500,0.405,simple,0,0,91,9,271,p3,m2
aBIC,p3m2,uneven,ideal,1000,1.5,simple,0,0,0,100,422,p3,m2
aBIC,p3m2,uneven,ideal,1000,0.9,simple,0,0,34,66,432,p3,m2
aBIC,p3m2,uneven,ideal,1000,0.405,simple,0,0,98,2,371,p3,m2
aBIC,p3m2,uneven,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
aBIC,p3m2,uneven,ideal,5000,0.9,simple,0,0,0,100,500,p3,m2
aBIC,p3m2,uneven,ideal,5000,0.405,simple,0,0,78,22,488,p3,m2
cmPk,p3m2,even,ideal,200,1.5,simple,0,22,78,0,196,p3,m2
cmPk,p3m2,even,ideal,200,0.9,simple,0,17,83,0,187,p3,m2
cmPk,p3m2,even,ideal,200,0.405,simple,0,10,90,0,211,p3,m2
cmPk,p3m2,even,ideal,500,1.5,simple,0,0,100,0,360,p3,m2
cmPk,p3m2,even,ideal,500,0.9,simple,0,0,100,0,313,p3,m2
cmPk,p3m2,even,ideal,500,0.405,simple,0,0,100,0,272,p3,m2
cmPk,p3m2,even,ideal,1000,1.5,simple,0,0,89,11,422,p3,m2
cmPk,p3m2,even,ideal,1000,0.9,simple,0,0,100,0,379,p3,m2
cmPk,p3m2,even,ideal,1000,0.405,simple,0,0,100,0,338,p3,m2
cmPk,p3m2,even,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
cmPk,p3m2,even,ideal,5000,0.9,simple,0,0,22,78,488,p3,m2
cmPk,p3m2,even,ideal,5000,0.405,simple,0,0,100,0,476,p3,m2
cmPk,p3m2,uneven,ideal,200,1.5,simple,0,24,76,0,198,p3,m2
cmPk,p3m2,uneven,ideal,200,0.9,simple,0,14,86,0,193,p3,m2
cmPk,p3m2,uneven,ideal,200,0.405,simple,0,13,87,0,186,p3,m2
cmPk,p3m2,uneven,ideal,500,1.5,simple,0,0,93,7,359,p3,m2
cmPk,p3m2,uneven,ideal,500,0.9,simple,0,0,100,0,325,p3,m2
cmPk,p3m2,uneven,ideal,500,0.405,simple,0,0,100,0,271,p3,m2
cmPk,p3m2,uneven,ideal,1000,1.5,simple,0,0,35,65,422,p3,m2
cmPk,p3m2,uneven,ideal,1000,0.9,simple,0,0,98,2,432,p3,m2
cmPk,p3m2,uneven,ideal,1000,0.405,simple,0,0,100,0,371,p3,m2
cmPk,p3m2,uneven,ideal,5000,1.5,simple,0,0,0,100,493,p3,m2
cmPk,p3m2,uneven,ideal,5000,0.9,simple,0,0,0,100,500,p3,m2
